airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air Asia,2019-05-15,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,no info,5192
Air India,2019-03-21,Delhi,Cochin,13:30:00,23:00:00,570,1.0,no info,5704
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,12:25:00,950,1.0,In-flight meal not included,11087
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Air India,2019-06-01,Delhi,Cochin,17:15:00,07:40:00,865,2.0,no info,14667
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,10262
Vistara,2019-06-03,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,no info,3687
Multiple Carriers,2019-06-03,Delhi,Cochin,13:00:00,19:15:00,375,1.0,no info,14848
Air India,2019-05-24,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,no info,13873
Multiple Carriers,2019-05-09,Delhi,Cochin,15:05:00,01:30:00,625,2.0,no info,18191
Spicejet,2019-04-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,no info,3971
Air India,2019-05-09,Kolkata,Banglore,08:20:00,07:55:00,1415,2.0,no info,10697
Air India,2019-06-03,Banglore,Delhi,17:00:00,19:45:00,165,0.0,no info,6961
Indigo,2019-03-06,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,no info,4784
Air Asia,2019-05-18,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,no info,5192
Vistara,2019-05-21,Banglore,Delhi,07:00:00,09:40:00,160,0.0,no info,4668
Indigo,2019-05-09,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,no info,3850
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Spicejet,2019-06-15,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Air India,2019-05-06,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,no info,13873
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663
Indigo,2019-06-09,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,no info,5224
Jet Airways,2019-03-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,2759
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,08:15:00,945,1.0,In-flight meal not included,8586
Air India,2019-03-03,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,no info,10283
Indigo,2019-03-21,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,no info,3384
Indigo,2019-03-21,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,no info,3384
Jet Airways,2019-04-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,no info,8040
Indigo,2019-06-06,Delhi,Cochin,11:25:00,21:00:00,575,1.0,no info,6093
Jet Airways,2019-05-01,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4030
Indigo,2019-03-03,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,no info,6144
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,no info,13731
Vistara,2019-05-12,Banglore,Delhi,09:45:00,12:35:00,170,0.0,no info,4668
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,no info,14939
Multiple Carriers,2019-06-15,Delhi,Cochin,11:40:00,19:15:00,455,1.0,no info,9526
Air India,2019-03-15,Banglore,New Delhi,05:50:00,22:10:00,980,2.0,no info,10111
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,01:30:00,830,1.0,no info,7485
Indigo,2019-06-03,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,no info,4804
Air India,2019-03-15,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,no info,3100
Indigo,2019-03-03,Delhi,Cochin,10:45:00,15:30:00,285,1.0,no info,7725
Indigo,2019-03-09,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,no info,7648
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,12:25:00,810,1.0,no info,13817
Jet Airways,2019-06-01,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Air India,2019-06-24,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,no info,10975
Spicejet,2019-05-03,Banglore,Delhi,09:30:00,12:20:00,170,0.0,no info,4423
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,no info,13364
Spicejet,2019-06-01,Delhi,Cochin,17:55:00,22:50:00,295,1.0,no info,5975
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,08:15:00,1400,1.0,no info,14815
Air India,2019-03-06,Delhi,Cochin,05:10:00,08:00:00,170,0.0,no info,6881
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,09:30:00,875,1.0,In-flight meal not included,11087
Jet Airways,2019-06-09,Delhi,Cochin,11:45:00,12:35:00,1490,2.0,no info,13882
Spicejet,2019-05-06,Banglore,Delhi,05:55:00,08:35:00,160,0.0,no info,3311
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,7064
Air India,2019-03-18,Banglore,New Delhi,21:05:00,23:55:00,170,0.0,no info,4441
Jet Airways,2019-06-15,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,19:00:00,360,1.0,no info,14714
Air Asia,2019-04-12,Banglore,Delhi,23:55:00,02:45:00,170,0.0,no info,7080
Air India,2019-03-06,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,no info,4960
Air India,2019-05-15,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,no info,6117
Indigo,2019-04-18,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,no info,5224
Indigo,2019-05-09,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,no info,4565
Air India,2019-05-01,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,no info,13899
Spicejet,2019-04-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,no info,4423
Air India,2019-04-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,no info,4487
Indigo,2019-03-27,Delhi,Cochin,17:10:00,01:35:00,505,1.0,no info,6316
Air Asia,2019-03-01,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,no info,5620
Goair,2019-05-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,no info,3419
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,23:25:00,570,1.0,In-flight meal not included,11134
Indigo,2019-06-21,Banglore,Delhi,06:05:00,08:50:00,165,0.0,no info,3943
Indigo,2019-03-21,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,no info,6860
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,no info,7927
Indigo,2019-03-06,Delhi,Cochin,14:30:00,17:35:00,185,0.0,no info,7673
Air India,2019-06-12,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,no info,11753
Jet Airways,2019-04-06,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,5406
Indigo,2019-04-24,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,no info,4804
Jet Airways,2019-06-06,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,In-flight meal not included,11992
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,no info,14151
Spicejet,2019-03-21,Delhi,Cochin,15:55:00,21:55:00,360,1.0,no info,5511
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,13:15:00,1100,1.0,In-flight meal not included,11087
Indigo,2019-03-21,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,no info,4049
Multiple Carriers,2019-06-24,Delhi,Cochin,08:45:00,19:15:00,630,1.0,no info,9001
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,12:35:00,910,2.0,no info,13292
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,10844
Air India,2019-06-06,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,no info,10991
Air India,2019-05-24,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,no info,15107
Air India,2019-03-09,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,no info,15586
Air India,2019-03-03,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,no info,11185
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,20:20:00,685,1.0,In-flight meal not included,7832
Indigo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,370,1.0,no info,7205
Spicejet,2019-03-09,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,no info,3603
Indigo,2019-05-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,no info,7191
Air India,2019-03-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,no info,4307
Jet Airways,2019-04-06,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4544
Indigo,2019-05-09,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,no info,4226
Indigo,2019-06-24,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,no info,4804
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,19:00:00,300,1.0,no info,15554
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,no info,15029
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Air Asia,2019-05-15,Delhi,Cochin,16:45:00,07:10:00,865,1.0,no info,6752
Air India,2019-05-18,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,no info,7480
Multiple Carriers,2019-06-09,Delhi,Cochin,10:35:00,19:00:00,505,1.0,no info,11098
Indigo,2019-03-27,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,no info,4148
Spicejet,2019-06-01,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Air India,2019-03-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,no info,15385
Air India,2019-06-01,Delhi,Cochin,17:00:00,19:15:00,1575,1.0,no info,8792
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,no info,14388
Indigo,2019-06-09,Delhi,Cochin,14:20:00,22:30:00,490,1.0,no info,6938
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Air India,2019-05-18,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,no info,6528
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,no info,14714
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,01:35:00,755,1.0,no info,12327
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:30:00,640,1.0,In-flight meal not included,11087
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,19:40:00,1605,1.0,In-flight meal not included,11134
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,7229
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Jet Airways,2019-03-21,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,In-flight meal not included,8273
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:00:00,690,1.0,no info,10877
Air Asia,2019-03-24,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,no info,5620
Indigo,2019-05-27,Banglore,Delhi,08:30:00,11:20:00,170,0.0,no info,4823
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:00:00,540,1.0,no info,10197
Multiple Carriers,2019-04-09,Delhi,Cochin,19:00:00,01:30:00,390,1.0,no info,7363
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,no info,14151
Indigo,2019-05-12,Banglore,Delhi,16:55:00,19:55:00,180,0.0,no info,4823
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,no info,8610
Jet Airways,2019-06-21,Banglore,Delhi,06:00:00,08:45:00,165,0.0,no info,8016
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,no info,14571
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,no info,3597
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,no info,12121
Indigo,2019-04-01,Banglore,Delhi,04:00:00,06:50:00,170,0.0,no info,3943
Spicejet,2019-05-27,Delhi,Cochin,06:05:00,11:20:00,315,1.0,no info,6749
Air Asia,2019-06-15,Delhi,Cochin,16:45:00,22:25:00,340,1.0,no info,6853
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,no info,13626
Jet Airways,2019-04-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,no info,7229
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Spicejet,2019-06-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Air India,2019-06-06,Kolkata,Banglore,14:30:00,08:55:00,1105,2.0,no info,15107
Indigo,2019-06-03,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,no info,4804
Jet Airways,2019-05-24,Delhi,Cochin,22:50:00,04:25:00,335,1.0,no info,16079
Indigo,2019-03-09,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,no info,4148
Air India,2019-03-01,Banglore,New Delhi,05:50:00,22:45:00,1015,1.0,no info,14069
Indigo,2019-05-24,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,no info,5755
Indigo,2019-03-12,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,no info,4148
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,18:50:00,820,2.0,In-flight meal not included,8728
Air India,2019-05-18,Banglore,Delhi,13:20:00,16:10:00,170,0.0,no info,6121
Air India,2019-05-27,Delhi,Cochin,12:00:00,19:15:00,435,2.0,no info,9653
Jet Airways,2019-03-01,Banglore,New Delhi,18:40:00,09:00:00,860,1.0,no info,31825
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,no info,14151
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,no info,17261
Multiple Carriers,2019-05-21,Delhi,Cochin,04:55:00,19:15:00,860,1.0,no info,7575
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,no info,14388
Indigo,2019-04-24,Banglore,Delhi,06:05:00,08:50:00,165,0.0,no info,4423
Jet Airways,2019-04-03,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Multiple Carriers,2019-06-01,Delhi,Cochin,19:00:00,01:30:00,390,1.0,no info,7530
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-15,Delhi,Cochin,19:00:00,01:30:00,390,1.0,no info,7408
Indigo,2019-06-21,Delhi,Cochin,21:05:00,00:20:00,195,0.0,no info,5406
Multiple Carriers,2019-03-03,Delhi,Cochin,13:00:00,01:35:00,755,1.0,no info,18286
Vistara,2019-06-03,Delhi,Cochin,14:40:00,17:50:00,190,0.0,no info,6216
Multiple Carriers,2019-06-09,Delhi,Cochin,17:00:00,01:30:00,510,1.0,no info,7408
Spicejet,2019-06-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Spicejet,2019-03-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,no info,3847
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,no info,14388
Indigo,2019-06-27,Banglore,Delhi,23:30:00,02:20:00,170,0.0,no info,3943
Air India,2019-06-01,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,no info,10861
Jet Airways,2019-05-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,21:00:00,480,1.0,no info,7618
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,no info,14571
Air India,2019-06-21,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,no info,3100
Indigo,2019-05-06,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,no info,3809
Spicejet,2019-05-15,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,10368
Air India,2019-06-06,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,no info,9626
Indigo,2019-05-09,Delhi,Cochin,18:35:00,01:30:00,415,1.0,no info,8542
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,no info,11622
Air India,2019-05-18,Delhi,Cochin,05:00:00,07:40:00,1600,2.0,no info,11228
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,08:15:00,1090,1.0,no info,12284
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,no info,15554
Indigo,2019-06-01,Banglore,Delhi,04:00:00,06:50:00,170,0.0,no info,3943
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,21:00:00,810,1.0,no info,8475
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,no info,8016
Spicejet,2019-05-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,In-flight meal not included,7832
Indigo,2019-04-24,Banglore,Delhi,13:00:00,15:50:00,170,0.0,no info,4423
Air India,2019-05-27,Delhi,Cochin,07:10:00,07:40:00,1470,2.0,no info,14588
Indigo,2019-05-15,Delhi,Cochin,07:35:00,16:10:00,515,1.0,no info,6442
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,19:00:00,360,1.0,no info,14714
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,no info,16736
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,04:25:00,450,1.0,no info,16079
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,no info,14151
Spicejet,2019-05-18,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,no info,4174
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,12:00:00,1655,1.0,In-flight meal not included,7064
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,04:25:00,1395,2.0,In-flight meal not included,9412
Air Asia,2019-05-24,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,no info,5192
Air India,2019-06-12,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,no info,13381
Air India,2019-05-27,Banglore,Delhi,13:20:00,16:10:00,170,0.0,no info,5228
Jet Airways,2019-06-01,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,no info,14714
Jet Airways,2019-06-09,Delhi,Cochin,06:45:00,12:35:00,1790,2.0,no info,13376
Jet Airways,2019-03-12,Mumbai,Hyderabad,19:40:00,21:10:00,90,0.0,no info,5678
Air India,2019-06-12,Delhi,Cochin,10:55:00,19:15:00,500,2.0,no info,11753
Indigo,2019-05-12,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,no info,2227
Jet Airways,2019-03-06,Mumbai,Hyderabad,17:00:00,16:50:00,1430,1.0,no info,19595
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,22:20:00,910,1.0,no info,6145
Spicejet,2019-06-21,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,no info,8662
Indigo,2019-05-21,Delhi,Cochin,04:55:00,11:50:00,415,1.0,no info,6794
Air India,2019-04-01,Kolkata,Banglore,05:50:00,13:15:00,445,2.0,no info,5562
Jet Airways,2019-04-03,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,2228
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,no info,14571
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,no info,12692
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,no info,13067
Spicejet,2019-03-06,Delhi,Cochin,06:10:00,11:20:00,310,1.0,no info,9748
Vistara,2019-03-15,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,no info,6138
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,10844
Indigo,2019-06-12,Delhi,Cochin,11:25:00,01:30:00,845,1.0,no info,5883
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,9663
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,20:45:00,855,1.0,no info,12681
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,12373
Jet Airways,2019-06-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,10:35:00,19:00:00,505,1.0,no info,9103
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,no info,7618
Air India,2019-05-15,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,no info,10671
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,15:15:00,495,1.0,no info,26890
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,In-flight meal not included,11087
Spicejet,2019-03-21,Delhi,Cochin,16:35:00,22:50:00,375,1.0,no info,4957
Air India,2019-06-01,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,no info,10441
Spicejet,2019-06-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3257
Jet Airways,2019-06-15,Banglore,Delhi,08:20:00,11:20:00,180,0.0,no info,8016
Jet Airways,2019-05-18,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,12373
Indigo,2019-04-06,Delhi,Cochin,10:35:00,15:35:00,300,1.0,no info,5073
Indigo,2019-06-27,Delhi,Cochin,05:10:00,10:05:00,295,1.0,no info,6496
Air India,2019-06-06,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,no info,12723
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,12898
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,01:30:00,840,1.0,no info,13377
Air Asia,2019-06-03,Delhi,Cochin,20:45:00,06:35:00,590,1.0,no info,11410
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,19:00:00,1845,2.0,no info,14300
Jet Airways,2019-03-27,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,6645
Air India,2019-04-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,no info,3100
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,01:30:00,930,1.0,no info,8510
